zone,pays,scenario,produits,poids_produits_g,emballage,poids_total_g,format,transporteur,service,prix_transporteur_reel_eur,prix_affiche_client_propose_eur,marge_interne_eur,source_url,source_checked_at,notes
France,France,F-S8,Panier supérieur léger BAL,variable,BC1,à calculer,BAL ≤ 3 cm si possible,La Poste,Lettre verte suivie ≤ 500 g,7.91,0.00,0,https://www.laposte.fr/tarif-lettre-suivie,2026-05-30,Relevé Alain - France métropolitaine - livraison offerte ≥ 55 € d'achat - BC1 caractéristiques à fournir
France,France,F-S8,Panier supérieur hors BAL,variable,BC1,à calculer,colis,Colissimo,Colissimo France selon tranche réelle,,0.00,0,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Caractéristiques BC1 à fournir - France métropolitaine - livraison offerte ≥ 55 € d'achat
UE,Allemagne,UE-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Tarif unique Zone A UE+CH+UK - prix client à calculer après packaging/handling
UE,Allemagne,UE-W2,3 × 75 cm ou 2 × 100 cm,90,E2,137,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Allemagne,UE-W3,Panier composite E2 max,~110,E2,~157,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Allemagne,UE-W4,Panier > 500 g jusqu'à 1 kg,variable,E2 ou BC1,500-1000,colis ou BAL,Colissimo,Colissimo International Zone A ≤ 1 kg,19.39,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Pas de tranche 750 g identifiée - utiliser ≤ 1 kg
UE,Belgique,UE-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Belgique,UE-W2,3 × 75 cm ou 2 × 100 cm,90,E2,137,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Belgique,UE-W3,Panier composite E2 max,~110,E2,~157,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Espagne,UE-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Espagne,UE-W2,3 × 75 cm ou 2 × 100 cm,90,E2,137,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Espagne,UE-W3,Panier composite E2 max,~110,E2,~157,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Italie,UE-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Italie,UE-W2,3 × 75 cm ou 2 × 100 cm,90,E2,137,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
UE,Italie,UE-W3,Panier composite E2 max,~110,E2,~157,BAL ≤ 3 cm,Colissimo,Colissimo International Zone A ≤ 500 g,14.99,à calculer après packaging,,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Idem Zone A
Mondial_Relay,France,MR-F-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,Point Relais,Mondial Relay,MR Point Relais France ≤ 500 g,4.40,0.00,0,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - à revalider avant Lot 1 - France métropolitaine - livraison offerte ≥ 55 € d'achat
Mondial_Relay,France,MR-F-W2,Multi-unités E2 max,~110,E2,~157,Point Relais,Mondial Relay,MR Point Relais France ≤ 500 g,4.40,0.00,0,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - France métropolitaine - livraison offerte ≥ 55 € d'achat
Mondial_Relay,France,MR-F-W3,Panier > 500 g à 1 kg,500-1000,E2 ou BC1,500-1000,Point Relais,Mondial Relay,MR Point Relais France > 500 g à 1 kg,4.90,0.00,0,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - France métropolitaine - livraison offerte ≥ 55 € d'achat
Mondial_Relay,France,MR-F-W4,Panier jusqu'à 2 kg,1000-2000,BC1,1000-2000,Point Relais,Mondial Relay,MR Point Relais France jusqu'à 2 kg,6.30,0.00,0,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - France métropolitaine - livraison offerte ≥ 55 € d'achat - BC1 caractéristiques à fournir
Mondial_Relay,Belgique,MR-BE-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,Point Relais,Mondial Relay,MR International Belgique ≤ 500 g,4.55,à calculer après packaging,,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - délai 3-4 j
Mondial_Relay,Belgique,MR-BE-W2,Multi-unités E2 max,~110,E2,~157,Point Relais,Mondial Relay,MR International Belgique ≤ 500 g,4.55,à calculer après packaging,,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - délai 3-4 j
Mondial_Relay,Luxembourg,MR-LU-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,Point Relais,Mondial Relay,MR International Luxembourg ≤ 500 g,4.55,à calculer après packaging,,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain (tarif BE/LU identique) - délai 3-4 j
Mondial_Relay,Espagne,MR-ES-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,Point Relais,Mondial Relay,MR International Espagne ≤ 500 g,6.80,à calculer après packaging,,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - délai 3-4 j
Mondial_Relay,Espagne,MR-ES-W2,Multi-unités E2 max,~110,E2,~157,Point Relais,Mondial Relay,MR International Espagne ≤ 500 g,6.80,à calculer après packaging,,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - délai 3-4 j
Mondial_Relay,Italie,MR-IT-W1,1 × 75 cm ou 1 × 100 cm,30-45,E2,77-92,Livraison domicile,Mondial Relay,MR International Italie ≤ 500 g (livraison à domicile),11.20,à calculer après packaging,,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - délai 3-6 j - ATTENTION livraison à domicile pas point relais standard
Mondial_Relay,Italie,MR-IT-W2,Multi-unités E2 max,~110,E2,~157,Livraison domicile,Mondial Relay,MR International Italie ≤ 500 g (livraison à domicile),11.20,à calculer après packaging,,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - délai 3-6 j - livraison à domicile
